Topic,Count,Name,Representation,Representative_Docs
-1,2539,-1_demonstrating_using_techniques_building,"['demonstrating', 'using', 'techniques', 'building', 'process', 'creating', 'design', 'enhance', 'materials', 'unique']","['Building a unique gumball machine using various materials and crafting techniques. The process showcases creative design and assembly steps to achieve a functional and visually appealing result.', 'Building a cannon barrel equipped with projectile slicing blades for air cannons. This project demonstrates the construction techniques and materials needed to create an effective slicing mechanism within the barrel.', 'Building workbenches using various materials and techniques, showcasing the fabrication process and tools involved. Demonstrating practical skills in woodworking and assembly for creating functional workspace solutions.']"
0,906,0_personal_gameplay_strategies_experiences,"['personal', 'gameplay', 'strategies', 'experiences', 'engaging', 'interactions', 'humorous', 'youtube', 'game', 'life']","[""Joining Lethal Company, showcasing gameplay experiences and interactions among players. Engaging in cooperative challenges and exploring the game's mechanics with friends."", 'Discussing various personal anecdotes and humorous experiences, the hosts share stories about gambling, social interactions, and unique events, including a memorable incident involving a bottle and a character named Jschlatt. The conversation also touches on topics like gaming, fashion, and personal revelations.', 'Sharing personal insights gained from a transformative Ayahuasca experience, emphasizing the emotional clarity and joy it brought after a difficult breakup. Discussing the significance of inner child work and the impact of such experiences on personal growth and well-being.']"
1,832,1_woodworking_table_wood_tools,"['woodworking', 'table', 'wood', 'tools', 'building', 'saw', 'using', 'techniques', 'process', 'cutting']","['Creating a beautiful table from recycled wood using woodworking techniques. The process involves planning, cutting, and assembling materials to achieve a finished piece.', 'Demonstrating the use of a JOBSITE table saw for fine woodworking projects, showcasing techniques for precision cutting and alignment. Highlighting features that enhance woodworking efficiency and accuracy.', 'Building a modern dining table using reclaimed wood from a pallet. The process involves dismantling the pallet, jointing the wood, and assembling the table with various woodworking techniques and tools.']"
2,776,2_cooking_ingredients_dish_food,"['cooking', 'ingredients', 'dish', 'food', 'creating', 'chicken', 'flavors', 'dishes', 'recipe', 'flavor']","['Making a cheese tart using a recipe from a 17th-century cookbook. The process involves traditional cooking techniques and ingredients to recreate a historical dish.', 'Demonstrating 18th-century cooking techniques, this collection features recipes for fried chicken, roast beef, cheese curd fritters, and various traditional baked goods like rye and Indian bread and lemon minced pie. It explores historical dishes such as succotash, beef steak pie, and Norfolk dumplings, showcasing the preparation methods and ingredients used during that era.', 'Recreating a favorite taco featuring grilled poblano peppers and melted cheese, showcasing a simple yet delicious preparation method. The dish emphasizes the enjoyment of fresh ingredients and straightforward cooking techniques.']"
3,553,3_muscle_training_strength_fitness,"['muscle', 'training', 'strength', 'fitness', 'workout', 'fat', 'exercises', 'loss', 'weight', 'body']","['Building strength and endurance through a full-body workout using dumbbells, featuring exercises such as squats, push-ups, and various curls to target multiple muscle groups. Engaging in a series of dynamic movements, the session emphasizes muscle building and fat burning without the need for a bench.', 'Building a high-intensity interval training (HIIT) workout that combines various fat-burning exercises, including inchworms with mountain climbers, Bulgarian split squats, squat thrusts, lateral lunges, and Spiderman pushups, all designed to be performed at home without equipment. This routine aims to reduce belly fat and improve overall fitness through effective movements and proper form.', 'Establishing a caloric intake based on current body fat percentage to optimize fat loss while minimizing muscle loss is crucial for effective body recomposition. Maintaining training intensity during a calorie deficit is emphasized to preserve strength and muscle mass, suggesting that adjustments should focus on reducing volume rather than weight lifted.']"
4,543,4_features_performance_pro_gaming,"['features', 'performance', 'pro', 'gaming', 'iphone', 'apple', 'capabilities', 'features performance', 'evaluating', 'ipad']","['Reviewing the features and performance of the 2020 iPad Pro, highlighting its upgraded A12Z Bionic chip, enhanced RAM, and new camera capabilities including a LiDAR sensor.', ""Evaluating the features and performance of the Samsung Galaxy S20, highlighting its significance in the smartphone market. Demonstrating the device's capabilities and user experience in various scenarios."", 'Showcasing the new M4 iPads, iPad Air, and Apple Pencil Pro, highlighting their features and capabilities. Discussing advancements in technology and design that enhance user experience.']"
5,528,5_engine_vehicle_performance_car,"['engine', 'vehicle', 'performance', 'car', 'driving', 'electric', 'tesla', 'racing', 'road', 'features']","['Comparing the BMW M2, Porsche Cayman GT4, and BMW 1M, this content showcases their performance, handling, and driving dynamics, focusing on the unique features of the BMW M2 as a manual rear-wheel-drive sports car. It highlights the specifications and driving experiences of these high-performance vehicles.', 'Exploring the features and performance of the all-electric Porsche Macan, showcasing its design and technology. Highlighting the driving experience and unique aspects of this electric vehicle.', ""Demonstrating the performance and sound of three restomods, the presentation highlights the unique characteristics of the MST Escort with its high-revving BDG engine, the Alfaholics GTA-R with its enhanced Twin-Spark engine, and Kamm's lightweight Porsche 912c. Each vehicle showcases the exhilarating experience of driving four-cylinder engines, emphasizing their capability to deliver joy comparable to more powerful counterparts.""]"
6,474,6_travel_experience_class_cruise,"['travel', 'experience', 'class', 'cruise', 'experiencing', 'journey', 'city', 'experiences', 'states', 'amenities']","[""Experiencing Turkish Airlines' business class, including a review of amenities, meals, and a tour of the seat and bathroom. Staying overnight at a secret hotel within the Istanbul airport lounge adds an exclusive touch to the travel experience."", 'Experiencing a 28-hour journey in a first-class Amtrak sleeper train from New York to Miami, showcasing the amenities and comfort of train travel. Highlighting the unique aspects of the sleeper cabin and the scenic views along the route.', 'Experiencing first-class travel on Virgin Atlantic, showcasing the luxurious amenities and services offered during the flight. Highlighting the comfort, dining options, and overall travel experience provided to passengers.']"
7,431,7_financial_market_strategies_business,"['financial', 'market', 'strategies', 'business', 'investment', 'wealth', 'income', 'retirement', 'investing', 'analyzing']","['Discussing the impact of a divided Congress on stock market performance, emphasizing that historically, such a political landscape tends to favor higher returns for investors. Highlighting the importance of focusing on long-term investment strategies and personal financial management rather than being swayed by presidential policies.', 'Exploring wealth-building strategies utilized by the top 1%, focusing on mindset shifts and practical approaches to financial success. Discussing key principles that can help individuals achieve significant financial growth by 2025.', ""Exploring the principles of Stoicism to enhance personal finance and investment strategies, emphasizing how this philosophical approach can lead to greater wealth and financial freedom. Highlighting the relevance of Stoicism in today's financial landscape and sharing personal experiences that illustrate its impact on financial decision-making.""]"
8,353,8_space_rocket_flight_aircraft,"['space', 'rocket', 'flight', 'aircraft', 'launch', 'rc', 'earth', 'physics', 'capabilities', 'demonstrating']","['Launching a crewed mission on the New Shepard rocket, showcasing the flight of Jeff Bezos and other passengers on a sub-orbital trajectory. Demonstrating the entire flight process, including liftoff, apogee, booster landing, parachute deployment, and touchdown.', 'Demonstrating the maiden flight of a giant RC Airbus A380, showcasing its design and flight capabilities. Highlighting the engineering and construction involved in creating this large-scale model aircraft.', 'Demonstrating the capabilities of the Boeing CST-100 Starliner, the spacecraft is designed to transport up to 7 astronauts to space, with a focus on missions to the International Space Station. Highlighting its launch atop the reliable ULA Atlas V rocket, the content explores the training process for astronauts and the experience of wearing the Boeing space suit.']"
9,267,9_guitar_music_musical_sound,"['guitar', 'music', 'musical', 'sound', 'playing', 'elements', 'techniques', 'unique', 'composition', 'analyzing']","['Demonstrating a guitar performance featuring a shred part inspired by Troy Grady’s “Pop Tarts Lick,” along with a collaboration with guitarist Michael Angelo Batio. The composition showcases intricate guitar techniques and musical creativity.', 'Analyzing isolated tracks to demonstrate the unique techniques and musical genius of Eddie Van Halen, highlighting why he is considered unparalleled in the guitar world.', 'Exploring chord combinations on the guitar to enhance playing skills and music theory understanding. Learning to create, alter, and analyze chords for improved musical expression.']"
10,214,10_painting_art_photoshop_drawing,"['painting', 'art', 'photoshop', 'drawing', 'artistic', 'color', 'techniques', 'process', 'paint', 'using']","['Painting different Ork clans by demonstrating specific techniques and color schemes to achieve authentic looks for miniatures.', 'Demonstrating the use of an airbrush, techniques for painting a miniature are showcased, focusing on color application and blending using various inks. The process emphasizes achieving detailed effects solely with an airbrush, highlighting the tools and materials needed for successful miniature painting.', 'Creating imaginative monster designs using various artistic techniques. Demonstrating the process of bringing unique characters to life through drawing and painting.']"
