comment_id,video_title,comment_text,author_name,published_at,like_count,reply_count
"UgwDEQ5YbE_cjaWZe454AaABAg","What is the Best Laser Cutter and Engraver for You?","Conclusion: which is the best for cutting materials up to 5mm or 6mm, such as wood, plywood, acrylic? (I don't understand English correctly)  Thanks","@Dancopymus","2020-12-31T23:23:19",0,0
"UgwMpk0aR6Z7N3pFSvZ4AaABAg","What is the Best Laser Cutter and Engraver for You?","Do you have experience using a Bystronic CO2 laser cutting machine?","@whyonearth244","2020-12-31T17:26:43",0,0
"Ugz1YHHNrXnOvy_4Nvh4AaABAg","The Worlds FASTEST Laser Engraver? Laserpecker Pro Review","Curious if this would work on metal, specifically things like small spice tins.","@nevermyndme","2020-12-31T15:22:59",2,3
"UgxbkTvNUngmRr-AiGN4AaABAg","Did I Waste $1500 on a 50W Laser Cutter from China?","can you make electrical tags for outlets with this could you make a video","@davefinlay1725","2020-12-30T18:58:18",1,0
"UgwfWNbEm0jjQ4vhGY14AaABAg","Did I Waste $1500 on a 50W Laser Cutter from China?","Lets see some engravings you did? I wonder how good the dpi is on this when ur engraving engravable stock? Lets see your vent setup? How cold does it get inside ur garage how do you keep the water from freezing?","@Maplesyrup416","2020-12-30T06:34:47",2,0
"Ugx-I0Fk0XGgxETYEIZ4AaABAg","The Worlds FASTEST Laser Engraver? Laserpecker Pro Review","Hey man, I was wondering what would be the best engraver to print anything small from 10mm to 30mm","@officialdugger4993","2020-12-30T00:07:15",0,1
"UgxIo8Kb8WmeqHMdgnd4AaABAg","The Worlds FASTEST Laser Engraver? Laserpecker Pro Review","this ones big enough to work and small enough to be cost effective https://amzn.to/34WipGh","@danialhowe9814","2020-12-29T23:46:40",0,0
"UgwSNoz0cCQ6zuBD-8Z4AaABAg","Is this the BEST budget Laser Engraver? Ortur Laser Master Engrave 2 Review","I bought the Ortur Master 2 Laser engraver and still cant figure out how to make it work. I am not a computer programmer so is there any videos that help a beginner like me to make it work. I reached out to Light burn to extend the trial but they didnt understand I just wanted a little more time to figure out how to make it work. If anyone is able to help me to get this thing to work it would be great.","@suejeter6143","2020-12-29T18:12:30",0,0
"Ugy-OZkmbT4P8ILtmft4AaABAg","Is this the BEST budget Laser Engraver? Ortur Laser Master Engrave 2 Review","Hey there. Great video. Considering getting into laser engraving (mostly wood for now) and considering getting this laser. My main question is I the only available space I have for this is the second bedroom of my condo. There is some space next to the window. Would an open window be enough ventilation or do I need to get some sort of fan or ventilation system? Is there one you would recommend? Thank you.","@erenscott","2020-12-29T02:44:09",6,0
"UgxXHFoC5tU-Xbg06DN4AaABAg","The Worlds FASTEST Laser Engraver? Laserpecker Pro Review","Does it smell when it engraved??and can you engrave on a laptop/phone or switch?","@razorduece2713","2020-12-28T22:21:04",0,0
"UgwszpkLUWFGv81sIyd4AaABAg","What is the Best Laser Cutter and Engraver for You?","What are the brands of the lasers of your top pick?","@christinebaliling6119","2020-12-28T22:05:07",1,1
"UgxeuoujHaPBtrPfJTp4AaABAg","Fusion 360 - Did Autodesk just kill the FREE Version?","6:20 No not making money and not big and crazy. I built it in my shed from random off the shelf stuff. It is just 4 axis. Sad, now I gotta go find something else.","@jamegumb7298","2020-12-28T20:54:25",2,0
"Ugw6nhq879hqje48BHd4AaABAg","What is the Best Laser Cutter and Engraver for You?","150W CO2 can cut thin sheet metal with oxygen assist. If that's your only use case you should be able to save buying a fiber unit.","@lupeters213","2020-12-28T19:14:58",0,0
"UgykAbzGLd_Sr1aza_x4AaABAg","Is this the BEST budget Laser Engraver? Ortur Laser Master Engrave 2 Review","Hi! I’m looking for a beginner laser cutting machine. I’m a card maker, and I have experience with die cutting machines,  but they were not so great for detail cutting. So what would you recommend? Maybe Ortur Laser Master Engraver V2? I’m mostly cutting card stock and vinyl, and maybe starting engraving on my crafts. I don’t have a big budget either.  Thank you so much. Mary Wooten","@RockyTopCycleShop","2020-12-28T16:37:21",0,0
"UgyU8ojufGku-BnPxz54AaABAg","What is the Best Laser Cutter and Engraver for You?","I work with very large industrial Bystronic lasers. I've kinda wanted to get into it it as a hobby. I wish I could just use the ones at work for some personal projects. We use the CO2/LN2 lasers to cut through 1/2"" mild steel. The new Fiber laser is used for the same parts, but is 10x faster.","@3sotErik","2020-12-28T10:41:34",1,0
"UgwGQyZmCOnA1_Kwi-h4AaABAg","What is the Best Laser Cutter and Engraver for You?","I'm confused about the price tag on the dremel laser cutter. It's more expensive than the glowforge plus and I'm not sure why. O know the glowforge plus at least has a pass through slot. Is there something I'm missing, are the specs better than the glowforge?","@xR56x","2020-12-28T06:15:09",0,0
"Ugw0A9BZLt2Yzeakypd4AaABAg","The Worlds FASTEST Laser Engraver? Laserpecker Pro Review","I just got one of these for Christmas and as a paper/mixed media crafter I’d be very interested in you testing if it could cut stencils or engrave onto rubber (for making custom stamps)! This is the best review and description I’ve seen.  I guess it’s new so not that many people have one to play with yet!","@jaynedavey5927","2020-12-27T21:45:11",6,1
