Rank,Topic_ID,Topic_Name,Tier,Tier_Name,Videos,Category,Subcategory,Keywords
1,0,Red Bull Racing & F1 Esports,1,Domain,575,Gaming,Racing Games,"verstappen, bull, max, prix, oracle"
2,1,Niche Site & Authority Building,1,Domain,570,Digital Marketing,SEO & Affiliate,"np, niche, site, sites, seo"
3,2,Business Growth & Entrepreneurship,1,Domain,555,Business,Startup Advice,"business, 100m, sales, ahead, customers"
4,3,3D Printing Technology,1,Domain,551,Technology,3D Printing,"printing, 3d, print, printer, printers"
5,4,Weight Loss & Fitness Training,1,Domain,544,Sports & Fitness,Athletics,"fat, lose, weight, loss, belly"
6,5,Metabolic Health & Nutrition Science,1,Domain,540,Health & Fitness,Nutrition,"fat, insulin, longevity, belly, dr"
7,6,Woodworking Coffee Tables,1,Domain,524,DIY & Crafts,Woodworking,"coffee, table, rotten, unique, 70yearold"
8,7,Lo-Fi Music Production,1,Domain,516,Music,Music Production,"lofi, ableton, akai, midi, mpk"
9,8,Music Analysis & Interviews,1,Domain,512,Music,Music Discussion,"song, music, interview, beatles, songs"
10,9,LEGO Building & Reviews,1,Domain,509,Hobbies,LEGO,"lego, tutorial, review, sets, potter"
11,10,Best Places to Live & Retire,1,Domain,509,Geography & Culture,Places to Live,"states, cities, towns, united, countries"
12,11,Sailing Adventures & Boat Life,1,Domain,508,Travel & Adventure,Travel,"sailing, sailboat, island, triteia, alberg"
13,12,Excel & Power BI Tutorials,1,Domain,506,Technology,Data Analysis,"excel, bi, dashboard, pivot, chart"
14,13,RC Planes & FPV Drones,1,Domain,497,Hobbies,RC Aircraft,"rctestflight, fpv, rc, plane, quadcopter"
15,14,Filmmaking & VFX Tutorials,1,Domain,496,Creative,Film Production,"film, effects, films, effect, short"
16,15,Machining & Metalworking,1,Domain,487,Pets & Animals,Pet Care,"tubalcain, mrpete, pt, lathe, bend"
17,16,Doctor Reacts & Medical Education,1,Domain,482,Social Media,Platform Growth,"doctor, medical, reacts, doctors, injuries"
18,17,Adam Savage's Tested,1,Domain,479,DIY & Crafts,Prop Making,"adam, savage, savages, mythbusters, meets"
19,18,Rob Scallon Music,1,Domain,477,Music,Guitar,"scallon, rob, string, cover, song"
20,19,Historical Documentaries,1,Domain,473,Education,History,"timeline, history, happened, historical, tv"
21,20,Guitar Lessons & Performance,1,Domain,471,Music,Guitar,"bass, reclaimed, sway, guitar, perspectives"
22,21,Codys Cody,1,Domain,468,Entertainment,General,"codys, cody, mercury, refining, bees"
23,22,Hanson Jason,1,Domain,467,Psychology,Personal Development,"hanson, jason, cia, selfdefense, excia"
24,23,Hifi Futurefi,1,Domain,466,Entertainment,General,"hifi, futurefi, kef, spotify, munich"
25,24,Guitar Lessons & Performance,1,Domain,463,Music,Guitar,"lesson, tab, guitar, lick, solo"
26,25,Cooking & Recipes,1,Domain,463,Entertainment,Comedy,"kenjis, cooking, show, kenji, late"
27,26,Van Flying,1,Domain,460,Entertainment,General,"van, flying, hours, our, mexico"
28,27,Hank P4A,1,Domain,459,Content Creation,Vlogging,"hank, p4a, connections, census, nerdfighteria"
29,28,Automotive & Car Repair,1,Domain,450,Travel & Adventure,Travel,"cruise, caribbean, royal, ship, norwegian"
30,29,Cooking & Recipes,1,Domain,446,Food & Cooking,Recipes,"cabinet, cabinets, drawer, drawers, doors"
31,30,Gear Drive,2,Niche,439,Entertainment,General,"gear, drive, tuned, porsche, dahm"
32,31,Wrecked Audi,2,Niche,436,Entertainment,General,"wrecked, audi, bmw, rebuilding, lamborghini"
33,32,Cooking & Recipes,2,Niche,435,Entertainment,Challenges,"18th, century, cooking, townsends, pie"
34,33,Motorcycles,2,Niche,435,Automotive,Motorcycles,"motorcycle, harley, bought, bike, davidson"
35,34,Marathon Running,2,Niche,430,Sports & Fitness,Athletics,"marathon, running, run, 5k, 10k"
36,35,60Fps,2,Niche,423,Travel & Adventure,Travel,"60fps, 4k, pov, disneyland, california"
37,36,Training Batman,2,Niche,421,Sports & Fitness,Athletics,"training, batman, strength, performance, functional"
38,37,Charisma Respect,2,Niche,421,Psychology,Personal Development,"charisma, respect, attractive, psychological, people"
39,38,Eating Stonie,2,Niche,417,Entertainment,Challenges,"eating, stonie, championship, challenge, eaten"
40,39,Marathon Running,2,Niche,408,Sports & Fitness,Athletics,"marathon, running, run, race, training"
41,40,Puppet Tears,2,Niche,407,Pets & Animals,Pet Care,"puppet, tears, puppetry, puppets, sesame"
42,41,Vlogmas Rundisney,2,Niche,406,Sports & Fitness,Athletics,"vlogmas, rundisney, cruise, weekly, travel"
43,42,Woodworking Projects,2,Niche,405,DIY & Crafts,Woodworking,"stumpy, nubs, clever, woodworkers, todays"
44,43,Language Learning,2,Niche,405,Education,Languages,"language, languages, iwtyal, learn, italian"
45,44,368 Nyc,2,Niche,403,Entertainment,General,"368, nyc, boosted, casey, york"
46,45,Instagram Algorithm,2,Niche,403,Social Media,Platform Growth,"instagram, algorithm, followers, instagrams, grow"
47,46,Girls Lacrosse,2,Niche,402,Sports & Fitness,Athletics,"girls, lacrosse, bodybuilder, training, stronger"
48,47,Startup Founders,2,Niche,395,Entertainment,General,"startup, founders, yc, seibel, startups"
49,48,Waterjet Psi,2,Niche,394,Entertainment,General,"waterjet, psi, 60000, half, cut"
50,49,Automotive & Car Repair,2,Niche,393,Military & Defense,Military,"aircraft, weapons, jets, missiles, naval"
51,50,Stock Trading & Analysis,2,Niche,391,Finance,Trading,"stock, warren, buffett, market, analysis"
52,51,Module Bus,2,Niche,389,Pets & Animals,Pet Care,"module, bus, 1050, 2020, labor"
53,52,Ipad Ipados,2,Niche,386,Entertainment,General,"ipad, ipados, pro, m4, air"
54,53,E-commerce & Dropshipping,2,Niche,384,Business,E-commerce,"fba, amazon, product, shopify, woocommerce"
55,54,Cooking & Recipes,2,Niche,384,Food & Cooking,Recipes,"kitchen, kitchens, trends, ikea, design"
