COMPLETE 3-TIER TOPIC HIERARCHY - ALL 1,084 TOPICS
====================================================================================================

TIER 1: DOMAINS (Top 30 largest topics)
----------------------------------------------------------------------------------------------------
Rank  ID     Topic Name                                    Videos   Category                  Subcategory         
----------------------------------------------------------------------------------------------------
1     0      Red Bull Racing & F1 Esports                  575      Gaming                    Racing Games        
2     1      Niche Site & Authority Building               570      Digital Marketing         SEO & Affiliate     
3     2      Business Growth & Entrepreneurship            555      Business                  Startup Advice      
4     3      3D Printing Technology                        551      Technology                3D Printing         
5     4      Weight Loss & Fitness Training                544      Sports & Fitness          Athletics           
6     5      Metabolic Health & Nutrition Science          540      Health & Fitness          Nutrition           
7     6      Woodworking Coffee Tables                     524      DIY & Crafts              Woodworking         
8     7      Lo-Fi Music Production                        516      Music                     Music Production    
9     8      Music Analysis & Interviews                   512      Music                     Music Discussion    
10    9      LEGO Building & Reviews                       509      Hobbies                   LEGO                
11    10     Best Places to Live & Retire                  509      Geography & Culture       Places to Live      
12    11     Sailing Adventures & Boat Life                508      Travel & Adventure        Travel              
13    12     Excel & Power BI Tutorials                    506      Technology                Data Analysis       
14    13     RC Planes & FPV Drones                        497      Hobbies                   RC Aircraft         
15    14     Filmmaking & VFX Tutorials                    496      Creative                  Film Production     
16    15     Machining & Metalworking                      487      Pets & Animals            Pet Care            
17    16     Doctor Reacts & Medical Education             482      Social Media              Platform Growth     
18    17     Adam Savage's Tested                          479      DIY & Crafts              Prop Making         
19    18     Rob Scallon Music                             477      Music                     Guitar              
20    19     Historical Documentaries                      473      Education                 History             
21    20     Guitar Lessons & Performance                  471      Music                     Guitar              
22    21     Codys Cody                                    468      Entertainment             General             
23    22     Hanson Jason                                  467      Psychology                Personal Development
24    23     Hifi Futurefi                                 466      Entertainment             General             
25    24     Guitar Lessons & Performance                  463      Music                     Guitar              
26    25     Cooking & Recipes                             463      Entertainment             Comedy              
27    26     Van Flying                                    460      Entertainment             General             
28    27     Hank P4A                                      459      Content Creation          Vlogging            
29    28     Automotive & Car Repair                       450      Travel & Adventure        Travel              
30    29     Cooking & Recipes                             446      Food & Cooking            Recipes             


TIER 2: NICHES (Topics 31-250)
----------------------------------------------------------------------------------------------------
Rank  ID     Topic Name                                    Videos   Category                  Subcategory         
----------------------------------------------------------------------------------------------------
31    30     Gear Drive                                    439      Entertainment             General             
32    31     Wrecked Audi                                  436      Entertainment             General             
33    32     Cooking & Recipes                             435      Entertainment             Challenges          
34    33     Motorcycles                                   435      Automotive                Motorcycles         
35    34     Marathon Running                              430      Sports & Fitness          Athletics           
36    35     60Fps                                         423      Travel & Adventure        Travel              
37    36     Training Batman                               421      Sports & Fitness          Athletics           
38    37     Charisma Respect                              421      Psychology                Personal Development
39    38     Eating Stonie                                 417      Entertainment             Challenges          
40    39     Marathon Running                              408      Sports & Fitness          Athletics           
41    40     Puppet Tears                                  407      Pets & Animals            Pet Care            
42    41     Vlogmas Rundisney                             406      Sports & Fitness          Athletics           
43    42     Woodworking Projects                          405      DIY & Crafts              Woodworking         
44    43     Language Learning                             405      Education                 Languages           
45    44     368 Nyc                                       403      Entertainment             General             
46    45     Instagram Algorithm                           403      Social Media              Platform Growth     
47    46     Girls Lacrosse                                402      Sports & Fitness          Athletics           
48    47     Startup Founders                              395      Entertainment             General             
49    48     Waterjet Psi                                  394      Entertainment             General             
50    49     Automotive & Car Repair                       393      Military & Defense        Military            
51    50     Stock Trading & Analysis                      391      Finance                   Trading             
52    51     Module Bus                                    389      Pets & Animals            Pet Care            
53    52     Ipad Ipados                                   386      Entertainment             General             
54    53     E-commerce & Dropshipping                     384      Business                  E-commerce          
55    54     Cooking & Recipes                             384      Food & Cooking            Recipes             
56    55     Cooking & Recipes                             382      Food & Cooking            Recipes             
57    56     Pcbway Pcb                                    378      Entertainment             General             
58    57     Painting Techniques                           377      Creative                  Traditional Art     
59    58     Chair Adirondack                              373      Beauty & Fashion          Beauty              
60    59     Photography                                   371      Religion & Spirituality   Faith               
61    60     Automotive & Car Repair                       371      Pets & Animals            Pet Care            
62    61     Painting Techniques                           369      Creative                  Traditional Art     
63    62     Heyne Life                                    366      Entertainment             General             
64    63     Podcasts & Interviews                         365      Entertainment             Podcasts            
65    64     Kart Wheels                                   364      Entertainment             General             
66    65     Mtg Booster                                   363      Entertainment             General             
67    66     Slow                                          361      Entertainment             General             
68    67     Swimming Swim                                 361      Beauty & Fashion          Beauty              
69    68     Nba Nfl                                       360      Entertainment             General             
70    69     Wealth Index                                  358      Entertainment             General             
71    70     Mathematics Education                         355      Education                 Math                
72    71     Eye Eyes                                      355      Entertainment             General             
73    72     Sales Suby                                    354      Entertainment             General             
74    73     Woodworking Projects                          353      DIY & Crafts              Woodworking         
75    74     Tax Taxes                                     349      Real Estate               Property            
76    75     Darley Amy                                    349      Home & Garden             Home Improvement    
77    76     Stock Trading & Analysis                      347      Finance                   Trading             
78    77     Piano Lessons & Performance                   347      Music                     Piano               
79    78     Formula                                       343      Entertainment             General             
80    79     Stock Trading & Analysis                      342      Finance                   Trading             
81    80     Toyota Worst                                  339      Entertainment             General             
82    81     Engraving Engraver                            338      Entertainment             General             
83    82     Rtx Ryzen                                     336      Entertainment             General             
84    83     Science Projects                              335      Science & Engineering     Applied Science     
85    84     Airbnb Tiny                                   331      Home & Garden             Home Improvement    
86    85     Lyn Stephanie                                 329      Entertainment             General             
87    86     Breath Wild                                   327      Sports & Fitness          Athletics           
88    87     Happening Attention                           326      Religion & Spirituality   Faith               
89    88     JavaScript Vercel Development                 320      Programming               JavaScript          
90    89     Adobe Creative Suite                          314      News & Politics           Current Events      
91    90     Hurst Megan                                   308      Home & Garden             Home Improvement    
92    91     Go Programming                                308      Programming               Go                  
93    92     Automotive & Car Repair                       305      Automotive                Car Maintenance     
94    93     Deep Space                                    302      Entertainment             General             
95    94     Spy Gadget                                    301      Entertainment             General             
96    95     Bodybuilding & Muscle Growth                  301      Sports & Fitness          Athletics           
97    96     Automotive & Car Repair                       299      Automotive                Car Maintenance     
98    97     Xtool Diode                                   299      Entertainment             General             
99    98     Amd                                           299      Technology                General Tech        
100   99     Seattle Angeles                               298      Home & Garden             Home Improvement    
101   100    Blacks Tropical                               297      Home & Garden             Home Improvement    
102   101    Quarterjade Otv                               296      Entertainment             General             
103   102    Router Jig                                    290      Parenting & Family        Family Life         
104   103    Iphone Ios                                    290      Entertainment             General             
105   104    40K Warhammer                                 284      Content Creation          Vlogging            
106   105    Mooregirl Goodwill                            282      Home & Garden             Home Improvement    
107   106    Smarter Every                                 282      Military & Defense        Military            
108   107    Martial Arts                                  282      Travel & Adventure        Travel              
109   108    Ydqa Drone                                    280      Entertainment             General             
110   109    Painting Techniques                           278      Creative                  Traditional Art     
111   110    Climbing Climber                              278      Sports & Fitness          Athletics           
112   111    Cosplay Diycrafts                             277      Psychology                Personal Development
113   112    Coding Train                                  276      Entertainment             Challenges          
114   113    Lore Middleearth                              275      Entertainment             General             
115   114    Backpacking Gear                              274      Entertainment             General             
116   115    Nighthawkinlight Fireworks                    272      Entertainment             General             
117   116    Minecraft Gaming                              271      Gaming                    Minecraft           
118   117    Rachel Pizzolato                              268      Social Media              Platform Growth     
119   118    Leatherworking                                267      DIY & Crafts              Leathercraft        
120   119    Among Role                                    266      Entertainment             Comedy              
121   120    Spacex Launch                                 263      Entertainment             General             
122   121    Fashion                                       263      Beauty & Fashion          Beauty              
123   122    Cricut Personalized                           262      Psychology                Personal Development
124   123    Funny Voltage                                 259      Science & Engineering     Applied Science     
125   124    Real Estate Investing                         256      Real Estate               Property            
126   125    Grid Homestead                                255      Home & Garden             Home Improvement    
127   126    Etiquette Comment                             255      Entertainment             General             
128   127    Cooking & Recipes                             254      Food & Cooking            Recipes             
129   128    Geography Few                                 253      Geography & Culture       Places to Live      
130   129    Dust Collector                                253      Entertainment             General             
131   130    Howes Lewis                                   249      Entertainment             General             
132   131    Go Programming                                245      Programming               Go                  
133   132    Pallet Pallets                                243      Beauty & Fashion          Beauty              
134   133    Database & SQL                                242      Science & Engineering     Applied Science     
135   134    Forging Swordbreaker                          242      Entertainment             General             
136   135    Mathematics Education                         241      Science & Engineering     Applied Science     
137   136    Automotive & Car Repair                       241      Automotive                Car Maintenance     
138   137    Youtube Channel                               238      Social Media              Platform Growth     
139   138    Bible Jesus                                   233      Religion & Spirituality   Faith               
140   139    Logistics Twl                                 233      Entertainment             General             
141   140    Ender Creality                                233      Entertainment             General             
142   141    Weeknight Chicken                             230      Entertainment             General             
143   142    Go Programming                                229      Programming               Go                  
144   143    Physics Education                             228      Science & Engineering     Applied Science     
145   144    Audiophile Speaker                            227      Entertainment             General             
146   145    Automotive & Car Repair                       227      Automotive                Car Maintenance     
147   146    Bilyeu Tom                                    226      Entertainment             Comedy              
148   147    Macbook                                       226      Entertainment             General             
149   148    Edm Vocal                                     225      Entertainment             General             
150   149    Printed                                       225      Entertainment             General             
151   150    Python Code Programming                       224      Programming               Python              
152   151    Retirement Retirees                           224      Geography & Culture       Places to Live      
153   152    Disney World                                  221      Travel & Adventure        Travel              
154   153    Podcasts & Interviews                         220      Entertainment             Podcasts            
155   154    Dji Mavic                                     220      Entertainment             General             
156   155    Mlb Baseball                                  220      Entertainment             General             
157   156    Sewing & Textiles                             218      DIY & Crafts              Textiles            
158   157    Anxiety Psychologist                          217      Entertainment             General             
159   158    Mapped Border                                 216      Military & Defense        Military            
160   159    Brain Creativity                              216      Entertainment             General             
161   160    Nike Shoe                                     214      Sports & Fitness          Athletics           
162   161    Garden Gardening                              214      Home & Garden             Home Improvement    
163   162    Study Info                                    212      Entertainment             General             
164   163    Lawn Sprinkler                                210      Law & Legal               Legal Education     
165   164    Timber Spec                                   210      Entertainment             General             
166   165    Guitar Lessons & Performance                  209      Beauty & Fashion          Beauty              
167   166    Mac Macos                                     209      Entertainment             General             
168   167    Beat Ableton                                  209      Entertainment             General             
169   168    Happily Ditl                                  208      Entertainment             General             
170   169    Woodworking Projects                          207      DIY & Crafts              Woodworking         
171   170    Automotive & Car Repair                       207      Automotive                Car Maintenance     
172   171    Gsx Dsm                                       207      Entertainment             General             
173   172    Etsy Coaches                                  206      Entertainment             General             
174   173    Signal Scout                                  204      Entertainment             General             
175   174    Bean Friday                                   204      Entertainment             General             
176   175    Go Programming                                202      Programming               Go                  
177   176    Knife Axe                                     201      Entertainment             General             
178   177    Python Learning Programming                   201      Science & Engineering     Applied Science     
179   178    Automotive & Car Repair                       201      Sports & Fitness          Athletics           
180   179    Headphones Earbuds                            201      Entertainment             General             
181   180    Podcasts & Interviews                         201      Parenting & Family        Family Life         
182   181    Vegan & Plant-Based                           199      Food & Cooking            Vegan               
183   182    Babish Binging                                198      Entertainment             General             
184   183    Plugins                                       197      Entertainment             General             
185   184    Yay Shiba                                     197      Entertainment             General             
186   185    Deck Stairs                                   196      Entertainment             General             
187   186    Airplane                                      195      Travel & Adventure        Travel              
188   187    Machine Learning                              195      Technology                AI & ML             
189   188    Fortnite Gaming                               194      Gaming                    Fortnite            
190   189    Filament Friday                               194      Entertainment             General             
191   190    Automotive & Car Repair                       190      Automotive                Car Maintenance     
